,loss,mean_absolute_error,mse,accuracy,val_loss,val_mean_absolute_error,val_mse,val_accuracy
0,0.0016703157452866435,0.022797120735049248,0.001614122069440782,0.514186680316925,0.001029584789648652,0.018871119245886803,0.0009837244870141149,0.604960024356842
1,0.0010242798598483205,0.01777343824505806,0.0009778087260201573,0.5270933508872986,0.0008535244851373136,0.016523486003279686,0.0008082618587650359,0.6281599998474121
2,0.0009289482841268182,0.016802499070763588,0.0008821270894259214,0.5296533107757568,0.0007840725593268871,0.015889685600996017,0.0007369545055553317,0.6494399905204773
3,0.0008625619229860604,0.01622779853641987,0.0008160831639543176,0.532480001449585,0.0008150527719408274,0.015285593457520008,0.0007680912967771292,0.6664800047874451
4,0.0008242392214015126,0.015851836651563644,0.0007781477179378271,0.5299733281135559,0.0007404151256196201,0.015544545836746693,0.0006933749536983669,0.6530399918556213
5,0.0007988436846062541,0.015553654171526432,0.0007525464170612395,0.5325066447257996,0.0007601678953506052,0.015666386112570763,0.000710959720890969,0.6623200178146362
6,0.000769881356973201,0.015290536917746067,0.000723372504580766,0.5309866666793823,0.0007461601053364575,0.015537435188889503,0.0006998238968662918,0.6757599711418152
7,0.0007689599297009408,0.015228219330310822,0.000722557189874351,0.5357333421707153,0.0007127405260689557,0.01511139515787363,0.0006629260024055839,0.664080023765564
8,0.0007479689666070044,0.015033886767923832,0.0007008032989688218,0.5392799973487854,0.000646302942186594,0.014014591462910175,0.0005984175950288773,0.6785600185394287
9,0.0007156659848988056,0.014684576541185379,0.0006697006174363196,0.5434133410453796,0.0007123543764464557,0.014186941087245941,0.0006676085176877677,0.692799985408783
