,loss,mean_absolute_error,mse,accuracy,val_loss,val_mean_absolute_error,val_mse,val_accuracy
0,0.0007009044056758285,0.01232548151165247,0.0006336636142805219,0.5783200263977051,0.0004440328339114785,0.009930761530995369,0.0003927053767256439,0.671280026435852
1,0.0005161913577467203,0.010554026812314987,0.0004697996482718736,0.6032800078392029,0.000381022720830515,0.009057216346263885,0.00033327500568702817,0.6823199987411499
2,0.0004802691109944135,0.010149218142032623,0.0004368966619949788,0.6098133325576782,0.0003529629029799253,0.008625984191894531,0.0003107476222794503,0.703279972076416
3,0.0004696199612226337,0.01001791749149561,0.00042801708332262933,0.6172800064086914,0.0003701130044646561,0.009175019338726997,0.00032304628985002637,0.7031999826431274
4,0.00044816374429501593,0.009761355817317963,0.0004052845761179924,0.623253345489502,0.00030999831506051123,0.008029351010918617,0.0002696429146453738,0.7238399982452393
5,0.00043048991938121617,0.009548800997436047,0.0003902315511368215,0.6295999884605408,0.000326955399941653,0.008009519428014755,0.0002887363370973617,0.7345600128173828
6,0.00042053419747389853,0.009415872395038605,0.00038005932583473623,0.6361066699028015,0.00035470485454425216,0.008684898726642132,0.0003158744366373867,0.7368000149726868
7,0.00042660051258280873,0.009488902986049652,0.0003854040987789631,0.641040027141571,0.00031638884684070945,0.008091545663774014,0.0002705836377572268,0.7293599843978882
8,0.00039878254756331444,0.009080822579562664,0.00035871597356162965,0.6476799845695496,0.000308769172988832,0.007828663103282452,0.00026115987566299736,0.748960018157959
9,0.0003881378215737641,0.008981716819107533,0.0003476164711173624,0.6507999897003174,0.00028079087496735156,0.007692903280258179,0.0002385681727901101,0.7453600168228149
